term,score
book,0.026194789196764847
series,0.024372581524091348
family,0.017522507897712168
woman,0.017405068248630935
life,0.0141801089605757
murder,0.01313518161254767
find,0.012885845656600614
new,0.012619623862836193
go,0.012418873478212515
live,0.012143123468406703
year,0.012089320597521321
mother,0.011958060952529033
man,0.011839954673209667
young,0.010280817585055394
war,0.010203664401625958
return,0.009998027527834743
town,0.009497059897670742
old,0.00887436643813851
daughter,0.008604938476567282
husband,0.008511059336904178
secret,0.008265471457574097
second,0.007963921061697486
world,0.007887816987609753
star,0.007571330868270748
friend,0.007527710703475501
coast,0.007464721901932978
past,0.007432924514257129
young woman,0.007293416661861176
seek,0.007282867924236569
suspect,0.007270497965986286
love,0.007188295981980356
north,0.0071730627147707435
story,0.00716998845979205
second book,0.007164072899787341
carolina,0.007153237498645893
death,0.007090306142087237
relationship,0.007042870375986123
investigate,0.0069093392908133764
sorrengail,0.006864751438610327
violet sorrengail,0.006864751438610327
violet,0.006864751438610327
discover,0.006800096366758087
work,0.006797363043801169
north carolina,0.006782699107351283
killer,0.006743871398628941
take,0.006721190691136778
survive,0.006708161247398061
come,0.006564782143408725
island,0.006518625438681459
miss,0.0064185666979857565
look,0.006312588419497804
search,0.006229371482497594
detective,0.006225191108987359
son,0.006160125197665714
quiet,0.006149004082746299
year old,0.0061132111766373405
mystery,0.006021435181674854
get,0.0059019158166447785
single,0.005731843642073032
quiet town,0.005703159681445237
california,0.005638751022725821
kill,0.005580742608286023
father,0.005549599299160115
different,0.005492879317638299
woman survive,0.00548916605828707
murder suspect,0.005475199762780892
town north,0.005471229239529294
marsh murder,0.00543677920999155
carolina coast,0.00543677920999155
survive marsh,0.00543677920999155
coast young,0.00543677920999155
marsh,0.00543677920999155
follow,0.0054307320362854405
bond,0.005354618588332284
scientist,0.005319265157660775
candidate,0.00522742817276443
sister,0.005150414737462237
dragon,0.005083756590771926
home,0.0050732795743733605
single mother,0.005063384947761138
live california,0.005021116007434169
california star,0.005021116007434169
mother live,0.005021116007434169
scientist single,0.005021116007434169
star cooking,0.005021116007434169
cooking,0.005021116007434169
brother,0.004955019392123805
know,0.0048381858279098995
child,0.004790066643283522
set,0.0047883160334382495
city,0.004664933167167499
member,0.0046522848151904685
wedding,0.00464819322631911
general,0.004613738451226766
agent,0.004604524364080535
contain,0.004435622190924247
universe,0.004417317306495066
library,0.0044063385199921146
form,0.0043711616531897195
rider,0.004363000568503537
multiple,0.004347863211848305
decade,0.004334404767179612
uncover,0.004317924075885546
case,0.004282536727749703
famous,0.0042805379295742275
jack,0.004268319891484119
serve,0.004254336767775651
command,0.004248437214537191
elite,0.004245255408642813
nora,0.004231986695181095
change,0.004196104293355006
dragon rider,0.004162241160421813
century,0.004157111304881869
america,0.00415662779394257
york,0.004134874195822228
new york,0.004134874195822228
possibility,0.004125378509770015
help,0.004073034842204802
mother candidate,0.004071901663978821
sorrengail urge,0.004071901663978821
elite dragon,0.004071901663978821
urge,0.004071901663978821
urge command,0.004071901663978821
candidate elite,0.004071901663978821
general mother,0.004071901663978821
command general,0.004071901663978821
black,0.004070152524704939
girl,0.004065072648063368
book multiple,0.004036260520208141
edge universe,0.004036260520208141
life live,0.004036260520208141
find library,0.004036260520208141
library edge,0.004036260520208141
edge,0.004036260520208141
multiple possibility,0.004036260520208141
universe contain,0.004036260520208141
contain book,0.004036260520208141
possibility life,0.004036260520208141
nora seed,0.004036260520208141
seed find,0.004036260520208141
seed,0.004036260520208141
reimagining,0.00401643732455048
bring,0.003988342968787482
crime,0.003975405094916644
mysterious,0.003963995458658581
cross,0.003958154812513884
southern,0.003931123026344588
empyrean series,0.003907397700508616
empyrean,0.003907397700508616
book empyrean,0.003907397700508616
face,0.003822223804789135
missing,0.003817848899963091
widow,0.0038129508523357487
force,0.0037904806839648988
affect,0.003785566505962838
head,0.0037828143199894523
adventure,0.003745489229039587
man love,0.00372935811389733
save,0.0037118133074766366
escape,0.003703445471240115
group,0.0036976144199616814
sibling,0.0036646341294903568
alex,0.003614359681739996
deal,0.003613353680440192
game,0.0035923019646405176
encounter,0.0035755856613469174
summer,0.0035724305202328205
truth,0.003572137174173927
training,0.0035631552727984957
turn,0.0035571204533833473
solve,0.0035309833234529226
boy,0.00348800985408976
hold,0.003477813585997638
president,0.0034458598866832927
shoot,0.003423288967709307
stop,0.0034227564497281266
event,0.003416645825509883
serial,0.003413801887658712
childhood,0.0033889508020466972
reacher,0.003382648474635535
fight,0.0033774526739892684
disappearance,0.003377368284408694
couple,0.003374267880382901
identity,0.0033478222864941577
meet,0.0033401773924152042
dark,0.003338669750286114
vietnam,0.0033292167752037596
lawyer,0.0033279938801756117
night,0.003286331498956267
accuse,0.003267433260546793
hall,0.0032625459092746273
run,0.003239905605453988
people,0.00322622284278119
house,0.003224023012452113
challenge,0.0032219326778326948
dangerous,0.003221911269884079
pulitzer,0.0032114332782654503
world war,0.0031868512471963225
time,0.0031715974807892335
name,0.003166661587451294
